Date,AAPL,SP500,NASDAQ
2000-07-01,0.7758141756057739,1430.8299560546875,3766.989990234375
2000-08-01,0.9304049015045166,1517.6800537109375,4206.35009765625
2000-09-01,0.3931553065776825,1436.510009765625,3672.820068359375
2000-10-01,0.2986833751201629,1429.4000244140625,3369.6298828125
2000-11-01,0.2519250810146332,1314.949951171875,2597.929931640625
2000-12-01,0.227114200592041,1320.280029296875,2470.52001953125
2001-01-01,0.3301745951175689,1366.010009765625,2772.72998046875
2001-02-01,0.2786443829536438,1239.93994140625,2151.830078125
2001-03-01,0.3369686007499695,1160.3299560546875,1840.260009765625
2001-04-01,0.3891862332820892,1249.4599609375,2116.239990234375
2001-05-01,0.3046000301837921,1255.8199462890625,2110.489990234375
2001-06-01,0.3549854755401611,1224.3800048828125,2160.5400390625
2001-07-01,0.286889374256134,1211.22998046875,2027.1300048828125
2001-08-01,0.2832247018814087,1133.5799560546875,1805.4300537109373
2001-09-01,0.2368091791868209,1040.93994140625,1498.800048828125
2001-10-01,0.2681088745594024,1059.780029296875,1690.199951171875
2001-11-01,0.3252120614051819,1139.449951171875,1930.5799560546875
2001-12-01,0.3343726694583893,1148.0799560546875,1950.4000244140625
2002-01-01,0.3774296343326568,1130.199951171875,1934.030029296875
2002-02-01,0.3313194811344147,1106.72998046875,1731.489990234375
2002-03-01,0.3613981306552887,1147.3900146484375,1845.3499755859373
2002-04-01,0.3705587685108185,1076.9200439453125,1688.22998046875
2002-05-01,0.355748176574707,1067.1400146484375,1615.72998046875
2002-06-01,0.2705524265766144,989.8200073242188,1463.2099609375
2002-07-01,0.2329923957586288,911.6199951171876,1328.260009765625
2002-08-01,0.2252057343721389,916.0700073242188,1314.8499755859375
2002-09-01,0.2213889956474304,815.280029296875,1172.06005859375
2002-10-01,0.2453593313694,885.760009765625,1329.75
2002-11-01,0.2366570830345153,936.3099975585938,1478.780029296875
2002-12-01,0.2187930941581726,879.8200073242188,1335.510009765625
2003-01-01,0.2192513942718505,855.7000122070312,1320.9100341796875
2003-02-01,0.2291755378246307,841.1500244140625,1337.52001953125
2003-03-01,0.2158920168876648,848.1799926757812,1341.1700439453125
2003-04-01,0.2171138375997543,916.9199829101562,1464.31005859375
2003-05-01,0.2740640342235565,963.5900268554688,1595.9100341796875
2003-06-01,0.2910114228725433,974.5,1622.800048828125
2003-07-01,0.3218535184860229,990.3099975585938,1735.02001953125
2003-08-01,0.3452134728431701,1008.010009765625,1810.449951171875
2003-09-01,0.3163566291332245,995.969970703125,1786.93994140625
2003-10-01,0.3494885563850403,1050.7099609375,1932.2099609375
2003-11-01,0.3192576766014099,1058.199951171875,1960.260009765625
2003-12-01,0.3262807726860046,1111.9200439453125,2003.3699951171875
